Siruta,Localitate,PlantePermanente,PlanteNepermanente,PlanteInmultire,CrestereaAnimalelor,FermeMixte,ActivitatiAuxiliare
164892,Miclesti,0.0,0.0,0.0,0.0,0.0,0.0
148514,Forasti,0.0,0.0,0.0,0.0,0.0,0.0
140324,Bocsa,2252972.0,0.0,0.0,0.0,0.0,6492.0
156712,Dudestii Vechi,5.8289013E7,0.0,0.0,0.0,0.0,686346.0
99370,Sipote,0.0,0.0,0.0,0.0,0.0,0.0
132137,Aricestii Zeletin,0.0,0.0,0.0,0.0,0.0,0.0
9262,Municipiul Arad,1.14675171E8,9460565.0,0.0,1.4158897E7,8580579.0,1.6380673E7
1071,Ciugud,370.0,0.0,0.0,0.0,0.0,445382.0
50228,Vintila Voda,0.0,0.0,0.0,0.0,0.0,0.0
33845,Micestii De Campie,0.0,0.0,0.0,82007.0,0.0,0.0
115771,Bichis,0.0,0.0,0.0,0.0,793874.0,0.0
107582,Cernesti,0.0,757775.0,109532.0,0.0,13387.0,0.0
9280,Fantanele,2772250.0,0.0,0.0,0.0,0.0,0.0
123969,Razboieni,0.0,0.0,0.0,0.0,0.0,438791.0
132164,Baba Ana,0.0,0.0,0.0,1.8260766E7,1.26801541E8,741133.0
42058,Teliu,0.0,151381.0,0.0,100.0,0.0,0.0
164936,Muntenii De Jos,139087.0,882727.0,0.0,2839364.0,689443.0,125360.0
173132,Stanesti,0.0,0.0,0.0,0.0,0.0,0.0
17496,Mosoaia,0.0,0.0,0.0,4054220.0,0.0,0.0
33881,Milas,365867.0,0.0,0.0,0.0,0.0,0.0
140379,Buciumi,0.0,0.0,0.0,129313.0,0.0,0.0
74842,Catane,1149512.0,0.0,0.0,0.0,777956.0,0.0
25692,Tamasi,0.0,0.0,0.0,0.0,0.0,54000.0
42076,Ticusu,0.0,0.0,0.0,0.0,0.0,0.0
156767,Dumbrava,1842971.0,0.0,0.0,0.0,0.0,455021.0
