Siruta,Localitate,CA_capita
84148,Corbu,0.0
51387,Berliste,15759.953895071541
125114,Ghindaoani,0.0
67773,Lucieni,0.0
59586,Sanpaul,1193.5103387593488
125123,Valeni,718.694209499024
100549,Slobozia,4094.921815889029
157898,Nadrag,0.0
116938,Ganesti,2154.1664377918155
125132,Draganesti,0.0
84175,Corund,2.932299662265889
133330,Floresti,45.29782112997213
174290,Zatreni,146.2609630266552
125141,Pancesti,0.0
10453,Conop,1289.6144736842105
26840,Oras Stei,460.29741727199354
141535,Horoatu Crasnei,0.0
125150,Gadinti,707.6509851226377
100576,Oras Buftea,436.76623141914786
157923,Nitchidorf,0.0
76004,Corni,2101.0017841213203
43242,Gemenele,1787.6164309031556
18670,Schitu Golesti,0.0
35054,Telciu,0.0
125169,Negresti,12.848305540613232
116983,Gheorghe Doja,252.1192439862543
51449,Berzasca,0.0
67835,Ludesti,0.0
108794,Sacalaseni,2382.49127399651
125178,Boghicea,65.23995451099317
149753,Paltinoasa,0.0
166137,Suletea,203.66834804539724
26877,Municipiul Marghita,858.6397655051501
